Name,Cannes 2026,Checked,Director,Link,Place,Year
I Only Rest in the Storm (O Riso e a Faca),No,Yes,Pedro Pinho,https://movie.douban.com/subject/37331289/,Guinea-Bissau,2025
Sirât,No,Yes,Oliver Laxe,https://movie.douban.com/subject/35409362/,"Merzouga, Et-taous ⵟⴰⵡⵙ الطاوس, Caïdat de Taouz, Drâa-Tafilalet, 52202, Morocco",2025
One for the Road,No,Yes,Nattawut Poonpiriya,https://movie.douban.com/subject/34913315/,"Bangkok, Thailand",2021
The Hunt (Jagten),No,Yes,Thomas Vinterberg,https://movie.douban.com/subject/6985810/,Denmark,2012
The Phoenician Scheme,No,Yes,Wes Anderson,https://movie.douban.com/subject/36465394/,Europe,2025
Marty Supreme,No,Yes,Josh Safdie,https://movie.douban.com/subject/36691620/,"New York, United States",2025
Motel Destino,No,Yes,Karim Aïnouz,https://movie.douban.com/subject/35332761/,"Ceará, Northeast Region, Brazil",2024
A New Old Play,No,Yes,Qiu Jiongjiong,https://movie.douban.com/subject/27305997/,"Sichuan, China",2021
Reprise,No,Yes,Joachim Trier,https://movie.douban.com/subject/2003397/,"Oslo, Norway",2006
Chainsaw Man: The Movie – Reze Arc,No,Yes,Tatsuya Yoshihara,https://movie.douban.com/subject/37291780/,"Tokyo, Japan",2025
Afire (Roter Himmel),No,Yes,Christian Petzold,https://movie.douban.com/subject/35221425/,Germany,2023
Coincoin and the Extra-Humans (Coincoin et les z'inhumains),No,Yes,Bruno Dumont,https://movie.douban.com/subject/26969727/,"Nord-Pas-de-Calais, Metropolitan France, France",2018
The Ballad of Narayama (楢山節考),No,Yes,Keisuke Kinoshita,https://movie.douban.com/subject/1294737/,"Nagano Prefecture, Japan",1958
Underground (Podzemlje),No,Yes,Emir Kusturica,https://movie.douban.com/subject/1292206/,"Museum of Yugoslavia, 6, Михаила Мике Јанковића, Topčidersko brdo, МЗ Четврти Јули, Savski venac, Belgrade, City of Belgrade, Central Serbia, 11000, Serbia",1995
And Your Bird Can Sing (きみの鳥はうたえる),No,Yes,Shō Miyake,https://movie.douban.com/subject/26969120/,"Hakodate, Oshima Subprefecture, Hokkaido Prefecture, Hokkaido Region, Japan",2018
A History of Violence,No,Yes,David Cronenberg,https://movie.douban.com/subject/1422917/,"Indiana, United States",2005
Sentimental Value (Affeksjonsverdi),No,Yes,Joachim Trier,https://movie.douban.com/subject/36413501/,"Oslo, Norway",2025
The Worst Person in the World (Verdens verste menneske),No,Yes,Joachim Trier,https://movie.douban.com/subject/34447553/,"Oslo, Norway",2021
Eagles of the Republic (Les Aigles de la République),No,Yes,Tarik Saleh,https://movie.douban.com/subject/36697073/,"Cairo, Egypt",2025
Romería,No,Yes,Carla Simón,https://movie.douban.com/subject/36575268/,"Vigo, Pontevedra, Galicia, Spain",2025
Challengers,No,Yes,Luca Guadagnino,https://movie.douban.com/subject/35742980/,"City of New Rochelle, Westchester County, New York, United States",2024
Toni Erdmann,No,Yes,Maren Ade,https://movie.douban.com/subject/24872189/,"Bucharest, Romania",2016
Fallen Angels (堕落天使),No,Yes,Wong Kar-wai,https://movie.douban.com/subject/1298112/,"Hong Kong, China",1995
The Lovers on the Bridge (Les amants du Pont-Neuf),No,Yes,Leos Carax,https://movie.douban.com/subject/1291559/,"Pont Neuf, Quai de Conti, Quartier de la Monnaie, 6th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75006, France",1991
Only the Animals (Seules les bêtes),No,Yes,Dominik Moll,https://movie.douban.com/subject/34614704/,"Causse Méjean, Lozère, Occitania, Metropolitan France, France",2019
Dancer in the Dark,No,Yes,Lars von Trier,https://movie.douban.com/subject/1291562/,"Washington, United States",2000
What Does That Nature Say to You,No,Yes,Hong Sang-soo,https://movie.douban.com/subject/36961962/,"Seoul, South Korea",2025
Love Me Tender,No,Yes,Anna Cazenave Cambet,https://movie.douban.com/subject/37040000/,France,2025
Resurrection (狂野时代),No,Yes,Bi Gan,https://movie.douban.com/subject/35416174/,China,2025
Alpha,No,Yes,Julia Ducournau,https://movie.douban.com/subject/36877556/,France,2025
Shaun of the Dead,No,Yes,Edgar Wright,https://movie.douban.com/subject/1308755/,"Greater London, England, United Kingdom",2004
Her Story (好东西),No,Yes,Shao Yihui,https://movie.douban.com/subject/36154853/,"Shanghai, China",2024
The Silent Holy Stones,No,Yes,Pema Tseden,https://movie.douban.com/subject/1756057/,"Tibet, China",2005
Kontinental '25,No,Yes,Radu Jude,https://movie.douban.com/subject/37170426/,"Cluj-Napoca, Cluj Metropolitan Area, Cluj, Romania",2025
Call Me by Your Name,No,Yes,Luca Guadagnino,https://movie.douban.com/subject/26799731/,"Crema, Cremona, Lombardy, 26013, Italy",2017
La Chimera,No,Yes,Alice Rohrwacher,https://movie.douban.com/subject/35448539/,"Tuscany, Italy",2023
Cemetery of Splendour (รักที่ขอนแก่น),No,Yes,Apichatpong Weerasethakul,https://movie.douban.com/subject/21323277/,"Khon Kaen Province, Thailand",2015
Fuori,No,Yes,Mario Martone,https://movie.douban.com/subject/36942325/,"Rome, Roma Capitale, Lazio, Italy",2025
The Piano in a Factory (钢的琴),No,Yes,Zhang Meng,https://movie.douban.com/subject/4876722/,"Anshan City, Liaoning, China",2010
The History of Sound,No,Yes,Oliver Hermanus,https://movie.douban.com/subject/35641244/,"Maine, United States",2025
The Brutalist,No,Yes,Brady Corbet,https://movie.douban.com/subject/30388206/,"Philadelphia, Philadelphia County, Pennsylvania, United States",2024
